iter	Passed	Remaining
0	142	142695
1	143	71725
2	144	48073
3	145	36244
4	146	29158
5	147	24421
6	148	21042
7	149	18527
8	150	16562
9	151	14974
10	152	13675
11	152	12590
12	154	11737
13	155	10946
14	156	10259
15	157	9659
16	158	9136
17	158	8665
18	159	8244
19	160	7869
20	161	7529
21	162	7217
22	163	6934
23	164	6676
24	165	6444
25	166	6222
26	166	6013
27	167	5825
28	168	5650
29	169	5487
30	170	5330
31	171	5182
32	172	5040
33	172	4915
34	173	4792
35	174	4678
36	175	4570
37	176	4467
38	177	4369
39	178	4279
40	179	4192
41	180	4107
42	180	4023
43	181	3946
44	182	3876
45	183	3814
46	184	3747
47	185	3682
48	186	3621
49	187	3562
50	188	3506
51	189	3451
52	190	3399
53	191	3348
54	192	3299
55	192	3252
56	193	3207
57	194	3166
58	195	3124
59	196	3084
60	197	3045
61	198	3007
62	199	2970
63	200	2933
64	201	2896
65	202	2861
66	203	2828
67	204	2796
68	204	2765
69	205	2734
70	206	2704
71	207	2676
72	208	2648
73	209	2625
74	210	2599
75	211	2573
76	212	2547
77	213	2522
78	214	2498
79	215	2475
80	216	2451
81	216	2428
82	217	2401
83	218	2379
84	219	2358
85	219	2337
86	220	2316
87	221	2297
88	222	2278
89	223	2261
90	224	2246
91	225	2229
92	226	2212
93	227	2195
94	228	2179
95	229	2162
96	230	2146
97	231	2130
98	232	2114
99	233	2099
100	234	2084
101	235	2070
102	236	2055
103	236	2041
104	238	2028
105	239	2016
106	240	2002
107	240	1988
108	241	1975
109	242	1962
110	243	1949
111	244	1937
112	245	1924
113	246	1912
114	246	1900
115	247	1888
116	248	1875
117	249	1863
118	250	1852
119	251	1840
120	251	1829
121	252	1818
122	253	1810
123	254	1801
124	255	1791
125	256	1781
126	257	1770
127	258	1761
128	259	1752
129	260	1742
130	261	1733
131	262	1724
132	263	1715
133	264	1706
134	265	1698
135	265	1689
136	267	1682
137	268	1674
138	269	1666
139	269	1657
140	270	1649
141	271	1639
142	272	1630
143	273	1623
144	274	1616
145	275	1609
146	275	1601
147	276	1593
148	277	1586
149	278	1579
150	279	1572
151	280	1565
152	281	1558
153	282	1551
154	283	1545
155	284	1540
156	285	1533
157	286	1526
158	287	1520
159	288	1513
160	288	1505
161	289	1499
162	290	1493
163	291	1487
164	292	1481
165	293	1475
166	294	1469
167	295	1463
168	296	1457
169	297	1451
170	298	1447
171	299	1442
172	300	1437
173	301	1431
174	302	1425
175	303	1420
176	304	1414
177	305	1409
178	306	1403
179	307	1398
180	308	1393
181	308	1388
182	309	1383
183	310	1378
184	311	1373
185	312	1368
186	313	1363
187	314	1358
188	315	1353
189	316	1349
190	317	1344
191	318	1339
192	319	1335
193	320	1330
194	321	1325
195	322	1321
196	323	1316
197	323	1312
198	324	1307
199	325	1302
200	326	1298
201	327	1294
202	328	1291
203	329	1287
204	330	1283
205	332	1279
206	333	1276
207	334	1272
208	335	1268
209	336	1264
210	337	1261
